,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
194,10,15,1,2685,1,1611395864,False,0.0,155.0,0.0,11.466276199999811,[4]
195,10,15,1,2685,1,1611395864,True,0.0,4.0,227.0,14.577867900000456,[4]
196,10,15,1,2685,2,42568569,False,0.0,4.0,0.0,0.2640153000002101,[]
197,10,15,1,2685,2,42568569,True,0.0,4.0,0.0,0.2604762999999366,[]
198,10,15,1,2685,1,42568569,False,0.0,26.0,0.0,2.6237396999995326,[4]
199,10,15,1,2685,1,42568569,True,0.0,4.0,804.0,51.31778750000012,[4]
200,10,15,1,20173,2,2082898964,False,0.07,34.0,0.0,4.237085499999921,[2]
201,10,15,1,20173,2,2082898964,True,0.0,4.0,609.0,19.865415299999768,[2]
202,10,15,1,20173,1,2082898964,False,7921.18,140.0,0.0,10.355215200000202,[9]
203,10,15,1,20173,1,2082898964,True,9999.0,,,,[9]
204,10,15,1,20173,2,692725761,False,0.0,13.0,0.0,1.5210188000000926,[2]
205,10,15,1,20173,2,692725761,True,0.0,4.0,7.0,0.4117271000004621,[2]
206,10,15,1,20173,1,692725761,False,2.0,295.0,0.0,31.66842330000054,[9]
207,10,15,1,20173,1,692725761,True,9999.0,,,,[9]
208,10,15,1,20173,2,344997561,False,0.0,19.0,0.0,2.1568062999995163,[2]
209,10,15,1,20173,2,344997561,True,0.0,4.0,18.0,0.7671245000001363,[2]
210,10,15,1,20173,1,344997561,False,0.38,86.0,0.0,10.763247199999569,[9]
211,10,15,1,20173,1,344997561,True,0.0,4.0,414.0,59.67123199999969,[9]
212,10,15,1,20173,2,1558804748,False,1.53,20.0,0.0,2.4108858000008695,[2]
213,10,15,1,20173,2,1558804748,True,9999.0,,,,[2]
214,10,15,1,20173,1,1558804748,False,6471.9,203.0,0.0,7.9796190999995815,[9]
215,10,15,1,20173,1,1558804748,True,0.0,4.0,768.0,109.38704409999991,[9]
216,10,15,1,20173,2,594619332,False,0.0,22.0,0.0,2.7179611000001387,[2]
217,10,15,1,20173,2,594619332,True,0.0,4.0,19.0,0.8058081999997739,[2]
218,10,15,1,20173,1,594619332,False,1.31,328.0,0.0,32.90647799999988,[9]
219,10,15,1,20173,1,594619332,True,9999.0,,,,[9]
220,10,15,1,20173,2,1986274268,False,4.19,20.0,0.0,2.3698111000003337,[2]
221,10,15,1,20173,2,1986274268,True,0.0,4.0,804.0,25.67691930000001,[2]
222,10,15,1,20173,1,1986274268,False,48.09,310.0,0.0,21.684536499999922,[9]
223,10,15,1,20173,1,1986274268,True,9999.0,,,,[9]
224,10,15,1,20173,2,1162275822,False,1.05,37.0,0.0,2.8448150000003807,[2]
225,10,15,1,20173,2,1162275822,True,9999.0,,,,[2]
226,10,15,1,20173,1,1162275822,False,1.48,417.0,0.0,33.51343919999999,[9]
227,10,15,1,20173,1,1162275822,True,9999.0,,,,[9]
228,10,15,1,20173,2,629526661,False,0.18,26.0,0.0,2.6629856999998083,[2]
229,10,15,1,20173,2,629526661,True,0.0,4.0,563.0,17.781981999999516,[2]
230,10,15,1,20173,1,629526661,False,1.04,131.0,0.0,12.201808899999378,[9]
231,10,15,1,20173,1,629526661,True,9999.0,,,,[9]
232,10,15,1,20173,2,1556474546,False,0.0,23.0,0.0,2.952183600000353,[2]
233,10,15,1,20173,2,1556474546,True,0.0,4.0,7.0,0.39885299999968993,[2]
234,10,15,1,20173,1,1556474546,False,16064.95,103.0,0.0,8.006733600000189,[9]
235,10,15,1,20173,1,1556474546,True,9999.0,,,,[9]
236,10,15,1,20173,2,197792239,False,0.0,36.0,0.0,4.06097200000022,[2]
237,10,15,1,20173,2,197792239,True,0.0,4.0,19.0,0.7684688999997888,[2]
238,10,15,1,20173,1,197792239,False,105.58,179.0,0.0,9.667364599999928,[9]
239,10,15,1,20173,1,197792239,True,0.0,4.0,804.0,111.99556290000055,[9]
240,10,15,1,17680,2,1316414565,False,0.0,4.0,0.0,0.3149351999991268,[]
241,10,15,1,17680,2,1316414565,True,0.0,4.0,0.0,0.30610119999983,[]
242,10,15,1,17680,1,1316414565,False,1.98,233.0,0.0,20.803433600000062,[8]
243,10,15,1,17680,1,1316414565,True,9999.0,,,,[8]
244,10,15,1,17680,2,779217003,False,0.0,4.0,0.0,0.30749790000027133,[]
245,10,15,1,17680,2,779217003,True,0.0,4.0,0.0,0.3129421000003276,[]
