,m,ncoeff,n,sparsity,seed,maxscc,guess,timeMINFAS,MINFAS,timetearpart,mintearpart,timetearfull,mintearfull,timescc,minscc,density
461,50,0.1,55,1,6,2.0,18.0,0.0070018768310546875,1.0,0.030984878540039062,1.0,0.031005859375,1.0,0.012952804565429688,2.0,2.0
462,50,0.1,55,1,7,0.0,19.0,0.001018524169921875,0.0,0.04810523986816406,0.0,0.05428314208984375,0.0,0.00400543212890625,0.0,2.22
463,50,0.1,55,1,8,0.0,13.0,0.001003265380859375,0.0,0.020174026489257812,0.0,0.02127838134765625,0.0,0.0029773712158203125,0.0,1.96
464,50,0.1,55,1,9,6.0,22.0,0.012012481689453125,3.0,0.11629104614257812,3.0,0.08621597290039062,1.0,0.018293380737304688,2.0,2.26
465,50,0.1,55,2,0,19.0,24.0,0.027887344360351562,3.0,0.2820014953613281,1.0,0.22229957580566406,0.0,0.030666351318359375,0.0,2.7
466,50,0.1,55,2,1,24.0,29.0,0.043857574462890625,4.0,1.096090316772461,2.0,0.6952476501464844,1.0,0.8376789093017578,4.0,2.92
467,50,0.1,55,2,2,15.0,24.0,0.02105712890625,3.0,0.13525009155273438,2.0,0.2701377868652344,1.0,0.14948654174804688,2.0,2.62
468,50,0.1,55,2,3,32.0,27.0,0.0166168212890625,5.0,0.420013427734375,2.0,0.18958091735839844,0.0,0.19054031372070312,0.0,2.66
469,50,0.1,55,2,4,33.0,30.0,0.6391334533691406,5.0,15.323640823364258,4.0,3.2951831817626953,2.0,16.5616455078125,4.0,3.0
470,50,0.1,55,2,5,22.0,23.0,0.1348400115966797,4.0,2.7895641326904297,3.0,3.3498172760009766,2.0,0.8217086791992188,14.0,2.82
471,50,0.1,55,2,6,22.0,28.0,0.0371856689453125,3.0,0.6589183807373047,2.0,0.34873390197753906,0.0,0.0498504638671875,0.0,2.82
472,50,0.1,55,2,7,23.0,32.0,0.06006431579589844,5.0,5.479942321777344,3.0,8.408329010009766,2.0,79.5187873840332,10.0,3.24
473,50,0.1,55,2,8,7.0,27.0,0.009721755981445312,2.0,0.24639892578125,2.0,3.7849063873291016,1.0,5.838155746459961,2.0,3.12
