,m,ncoeff,n,sparsity,seed,maxscc,guess,timetear,mintear,timescc,minscc,timeguess,minguess
171,20,0.5,30,1.5,1,17.0,10,0.0250167846679687,3.0,2.4421863555908203,0.0,2.335437774658203,0.0
172,20,0.5,30,1.5,2,6.0,12,0.0050010681152343,2.0,0.0532341003417968,0.0,0.0461750030517578,0.0
173,20,0.5,30,1.5,3,13.0,13,0.0331058502197265,3.0,0.027322769165039,0.0,0.042917251586914,0.0
174,20,0.5,30,1.5,4,16.0,13,0.1287174224853515,5.0,37.41801643371582,2.0,23.238025665283203,1.0
175,20,0.5,30,1.5,5,18.0,13,0.1016902923583984,4.0,1.5645885467529297,0.0,0.216073989868164,0.0
176,20,0.5,30,1.5,6,17.0,14,0.0420093536376953,6.0,1.10491943359375,0.0,0.4729270935058594,0.0
177,20,0.5,30,1.5,7,18.0,15,0.1246910095214843,4.0,100.0933952331543,999.0,67.55345344543457,1.0
178,20,0.5,30,1.5,8,13.0,13,0.0403461456298828,3.0,1.4920330047607422,0.0,1.6826095581054688,0.0
179,20,0.5,30,1.5,9,17.0,15,0.016000747680664,4.0,100.0489273071289,999.0,12.58310890197754,1.0
180,30,0.1,33,0.5,0,0.0,12,0.0010356903076171,0.0,0.0019855499267578,0.0,0.0050201416015625,0.0
181,30,0.1,33,0.5,1,7.0,12,0.0060577392578125,1.0,0.0240440368652343,0.0,0.0220203399658203,0.0
182,30,0.1,33,0.5,2,8.0,8,0.0070266723632812,1.0,0.0367698669433593,2.0,0.0422172546386718,1.0
183,30,0.1,33,0.5,3,4.0,9,0.0050010681152343,1.0,0.0222377777099609,4.0,0.0271530151367187,1.0
184,30,0.1,33,0.5,4,4.0,14,0.0050010681152343,1.0,0.0189838409423828,4.0,0.0242786407470703,1.0
185,30,0.1,33,0.5,5,2.0,9,0.0049991607666015,1.0,0.0111808776855468,2.0,0.0090713500976562,1.0
186,30,0.1,33,0.5,6,3.0,12,0.0050010681152343,1.0,0.0110893249511718,3.0,0.0230598449707031,1.0
187,30,0.1,33,0.5,7,9.0,9,0.0090847015380859,2.0,0.07415771484375,2.0,0.0836372375488281,1.0
188,30,0.1,33,0.5,8,2.0,9,0.0049991607666015,2.0,0.0070018768310546,0.0,0.0175380706787109,0.0
189,30,0.1,33,0.5,9,6.0,12,0.0092239379882812,1.0,0.0183010101318359,0.0,0.0403194427490234,0.0
190,30,0.1,33,1.0,0,24.0,15,0.0541000366210937,4.0,0.1367053985595703,0.0,0.4788150787353515,0.0
191,30,0.1,33,1.0,1,22.0,17,0.04766845703125,3.0,0.5051555633544922,5.0,0.1876144409179687,1.0
192,30,0.1,33,1.0,2,18.0,14,0.0129165649414062,3.0,0.2897968292236328,7.0,0.1414394378662109,1.0
